Timestamp,Direction,RTT_ms,RTTvar_ms,Retransmissions,CWND,SSTHRESH,Throughput_Mbps
37.319,S_C,170.665,76.866,0,4,4,N/A
37.319,C_S,N/A,N/A,N/A,N/A,N/A,0.0012
37.319,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
37.430,C_S,199.991,81.364,0,10,2147483647,N/A
37.538,S_C,163.105,72.770,0,4,4,N/A
37.779,C_S,188.495,81.695,0,10,2147483647,N/A
38.467,S_C,172.807,73.981,0,4,4,N/A
38.467,C_S,N/A,N/A,N/A,N/A,N/A,0.0011
38.467,S_C,N/A,N/A,N/A,N/A,N/A,0.0011
38.599,C_S,250.934,186.148,0,10,2147483647,N/A
38.845,S_C,167.573,65.954,0,4,4,N/A
39.110,C_S,250.271,140.936,0,10,2147483647,N/A
39.286,S_C,179.688,73.695,0,4,4,N/A
39.400,C_S,240.921,124.401,0,10,2147483647,N/A
39.572,S_C,171.390,71.867,0,4,4,N/A
39.572,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
39.572,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
39.735,C_S,232.313,110.517,0,10,2147483647,N/A
39.956,S_C,170.249,56.182,0,4,4,N/A
40.080,C_S,230.805,85.904,0,10,2147483647,N/A
40.216,S_C,164.483,53.669,0,4,4,N/A
40.383,C_S,218.895,86.197,0,10,2147483647,N/A
40.583,S_C,164.851,40.989,0,4,4,N/A
40.583,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
40.583,S_C,N/A,N/A,N/A,N/A,N/A,0.0019
40.809,C_S,216.391,69.657,0,10,2147483647,N/A
40.992,S_C,172.525,46.089,0,4,4,N/A
41.160,C_S,212.201,60.622,0,10,2147483647,N/A
41.280,S_C,171.854,35.908,0,4,4,N/A
41.414,C_S,200.698,61.603,0,10,2147483647,N/A
41.639,S_C,167.042,35.989,0,4,4,N/A
41.639,C_S,N/A,N/A,N/A,N/A,N/A,0.0018
41.639,S_C,N/A,N/A,N/A,N/A,N/A,0.0018
41.801,C_S,203.716,52.238,0,10,2147483647,N/A
42.003,S_C,166.427,28.222,0,4,4,N/A
42.245,C_S,203.466,39.680,0,10,2147483647,N/A
42.471,S_C,175.858,40.029,0,4,4,N/A
42.681,C_S,206.251,35.330,0,10,2147483647,N/A
42.681,C_S,N/A,N/A,N/A,N/A,N/A,0.0019
42.681,S_C,N/A,N/A,N/A,N/A,N/A,0.0012
42.862,S_C,180.108,38.522,0,4,4,N/A
43.030,C_S,203.058,32.882,0,10,2147483647,N/A
43.135,S_C,178.573,31.961,0,4,4,N/A
43.242,C_S,190.745,34.932,0,10,2147483647,N/A
43.343,S_C,169.490,33.233,0,4,4,N/A
